campaign.resource_name,campaign.name,campaign.id,metrics.conversions_value,metrics.conversions,segments.date,segments.conversion_action,segments.conversion_action_name
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,5.0,5.0,2026-03-30,customers/3123559470/conversionActions/7547447414,Calls from ads
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,3.0,3.0,2026-04-02,customers/3123559470/conversionActions/7547447414,Calls from ads
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2.0,2.0,2026-04-06,customers/3123559470/conversionActions/7547447414,Calls from ads
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1.0,1.0,2026-03-24,customers/3123559470/conversionActions/7547447414,Calls from ads
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1.0,1.0,2026-03-28,customers/3123559470/conversionActions/7547447414,Calls from ads
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1.0,1.0,2026-04-01,customers/3123559470/conversionActions/7547447414,Calls from ads
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1.0,1.0,2026-04-07,customers/3123559470/conversionActions/7547447414,Calls from ads
