campaign.resource_name,campaign.name,campaign.id,metrics.clicks,metrics.conversions,metrics.cost_micros,metrics.ctr,metrics.average_cpc,metrics.impressions,segments.date,campaign_search_term_view.resource_name,campaign_search_term_view.search_term
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,3,0.0,1198556,0.08333333333333333,399518.6666666667,36,2026-03-18,customers/3123559470/campaignSearchTermViews/23652899436~b3JsYW5kbyBjb252ZW50aW9uIGNlbnRlcg,orlando convention center
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2,0.0,1380946,0.09523809523809523,690473.0,21,2026-03-19,customers/3123559470/campaignSearchTermViews/23652899436~b3JsYW5kbyBjb252ZW50aW9uIGNlbnRlcg,orlando convention center
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,17,2026-04-04,customers/3123559470/campaignSearchTermViews/23652899436~bWFqZXN0aWMgZXZlbnQgY2VudGVy,majestic event center
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2,0.0,480000,0.125,240000.0,16,2026-04-08,customers/3123559470/campaignSearchTermViews/23652899436~b3JsYW5kbyBldmVudCB2ZW51ZQ,orlando event venue
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,15,2026-04-02,customers/3123559470/campaignSearchTermViews/23652899436~dGhlIGFjcmUgb3JsYW5kbw,the acre orlando
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,13,2026-04-01,customers/3123559470/campaignSearchTermViews/23652899436~dGhlIGFjcmUgb3JsYW5kbw,the acre orlando
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,13,2026-04-04,customers/3123559470/campaignSearchTermViews/23652899436~dGhlIGFjcmUgb3JsYW5kbw,the acre orlando
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,12,2026-03-18,customers/3123559470/campaignSearchTermViews/23652899436~ZXZlbnQgdmVudWVzIG9ybGFuZG8,event venues orlando
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,200000,0.08333333333333333,200000.0,12,2026-04-04,customers/3123559470/campaignSearchTermViews/23652899436~b3JsYW5kbyBnYXJkZW5z,orlando gardens
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,11,2026-03-17,customers/3123559470/campaignSearchTermViews/23652899436~b3JsYW5kbyBjb252ZW50aW9uIGNlbnRlcg,orlando convention center
